clock,screen,label,displayed_tiefe,carriage,offset,displayed_spann,klemmdruck,panel,displayed_vol
14:57:46,bohren,,,0.0,,,1687.16277,keine,0
14:57:51,bohren,,,0.0,,,1687.553407,keine,0
14:57:56,bohren,,,0.0,,3.0,1684.818949,keine,0
14:59:15,bohren,,,0.101667,,,1680.521943,keine,0
14:59:26,bohren,,0.0,0.101667,-0.102,,1675.053026,keine,0
14:59:36,bohren,,0.0,0.101667,-0.102,,1674.467071,keine,0
14:59:47,bohren,,0.0,0.101667,-0.102,,1675.053026,keine,0
14:59:57,bohren,,0.0,0.101667,-0.102,,1676.615574,keine,01
15:00:01,bohren,,0.0,0.101667,-0.102,,1676.224937,keine,161
15:00:07,bohren,,0.0,0.101667,-0.102,,1677.396847,keine,961
15:00:16,bohren,,0.0,0.101667,-0.102,,1723.492004,keine,2411
15:00:56,bohren,,1.08,3.068333,-1.988,,1916.271325,keine,880
15:01:01,bohren,,1.11,3.160833,-2.051,,1893.028428,keine,9591
15:01:06,bohren,,1.13,3.343333,-2.213,,1759.039964,keine,10471
15:01:11,bohren,,1.4,3.959167,-2.559,,1757.868053,keine,11291
15:01:16,bohren,,1.44,4.089167,-2.649,,1967.835398,keine,12101
15:01:21,bohren,,1.49,4.213333,-2.723,,1885.411008,keine,12881
15:01:26,bohren,,1.54,4.3625,-2.822,,1830.721839,keine,13641
15:01:31,bohren,,1.62,4.556667,-2.937,,1799.275567,keine,1446
15:01:37,bohren,,1.68,4.799167,-3.119,,1772.321619,keine,15291
15:01:39,bohren,,1.74,4.898333,-3.158,,1768.805887,keine,15781
15:01:46,bohren,,1.88,5.278333,-3.398,,1757.868053,keine,16831
15:01:51,bohren,,1.92,5.393333,-3.473,,1755.71955,keine,17621
15:01:56,bohren,,2.0,5.633333,-3.633,,1744.586398,keine,18451
15:02:01,bohren,,2.06,5.7725,-3.712,,1738.726844,keine,19241
15:02:06,bohren,,2.09,5.859167,-3.769,,1740.094073,keine,19991
15:02:11,bohren,,1.97,5.545,-3.575,,1728.570284,keine,20811
15:02:13,bohren,,1.97,5.545,-3.575,,5292.936872,gruen,21161
15:02:21,bohren,,1.97,-2.420833,4.391,,4268.296228,gelb,21301
15:02:26,bohren,,1.97,-6.445833,8.416,,4110.478912,gruen,21301
15:02:32,bohren,,1.97,-6.445833,8.416,,4031.374935,gelb,21301
15:02:41,bohren,,1.97,-6.445833,8.416,,4006.569491,gelb,21301
15:02:46,bohren,,1.97,-6.445833,8.416,,4000.3193,gruen,21301
15:02:51,bohren,,1.97,-6.445833,8.416,,3992.70188,gelb,21301
15:02:57,bohren,,1.97,-6.445833,8.416,,3980.00618,gruen,21301
15:03:02,bohren,,1.97,-6.445833,8.416,,3972.38876,gelb,21301
15:03:06,bohren,,1.97,-6.445833,8.416,,3966.724525,gruen,21301
15:03:11,bohren,,1.97,-4.626667,6.597,,3971.412168,gelb,21301
15:03:16,bohren,,1.97,-1.859167,3.829,,3937.817392,gelb,21301
15:03:21,bohren,,1.97,-1.62,3.59,3965.55,3964.77134,gruen,21301
15:03:27,bohren,,1.97,-1.62,3.59,,3957.544557,gelb,21341
15:03:32,bohren,,1.97,-1.065,3.035,,3894.652013,gruen,21921
15:03:41,bohren,,1.97,0.038333,1.932,,3840.353481,gelb,23171
15:03:46,bohren,,2.55,1.685833,0.864,,1867.246391,keine,23881
15:03:56,bohren,,3.32,3.845,-0.525,,1742.633213,keine,25131
15:04:01,bohren,,3.74,4.983333,-1.243,,1733.843883,keine,25801
15:04:11,bohren,,4.41,7.215833,-2.806,,1722.124775,keine,27061
15:04:16,bohren,,4.65,7.475,-2.825,,1740.48471,keine,27591
15:04:31,bohren,,4.65,4.795833,-0.146,5064.8,5051.327937,gruen,29651
15:04:36,bohren,,4.65,4.785,-0.135,,4892.33871,gelb,3044
15:04:41,bohren,,4.65,1.6575,2.993,,4824.758522,gruen,3085
15:04:56,bohren,,4.65,-0.584167,5.234,4783.94,4782.960372,gruen,3085
15:05:01,bohren,,4.65,0.845833,3.804,,4782.569735,gelb,3140
15:05:06,bohren,,4.65,1.878333,2.772,4521.23,4521.233634,gruen,3205
15:05:12,bohren,,5.26,4.103333,1.157,,1849.66773,keine,32831
15:05:16,bohren,,6.6,7.144167,-0.544,,1770.368435,keine,33521
15:05:31,bohren,,6.67,4.615833,2.054,,4867.337947,gruen,3558
15:05:41,bohren,,6.67,4.61,2.06,,4636.080889,gruen,37111
15:05:50,bohren,,6.67,-2.980833,9.651,,4615.572451,gruen,37761
15:06:01,bohren,,6.67,-0.815833,7.486,,4609.126942,gruen,37761
15:06:17,bohren,,6.67,-0.815833,7.486,,4584.126179,gelb,37761
15:06:21,bohren,,6.67,-0.790833,7.461,,4579.829173,gelb,37761
15:06:31,bohren,,6.67,1.32,5.35,,4572.993027,gelb,3866
15:06:41,bohren,,7.56,4.601667,2.958,,1847.714545,keine,4001
15:06:45,bohren,,8.38,6.846667,1.533,,1778.962447,keine,4060
15:06:51,bohren,,8.66,7.3475,1.312,5289.23,5367.548524,gruen,41431
15:06:56,bohren,,8.66,5.69,2.97,5239.61,5239.614933,gelb,42141
